Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Search Intent,Funnel Stage
detailed car cleaning services,PKR,5000.0,0.0,0.0,Low,6.0,39.1,399.38,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning lady services,PKR,5000.0,0.0,900.0,Low,10.0,28.97,196.74,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
maid services,PKR,5000.0,0.0,900.0,Low,10.0,28.97,196.74,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning lady service,PKR,5000.0,0.0,900.0,Low,10.0,28.97,196.74,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
maids service,PKR,5000.0,0.0,900.0,Low,10.0,28.94,196.5,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
maid home cleaning services,PKR,5000.0,0.0,900.0,Low,10.0,28.94,196.5,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
clean cleaning service,PKR,5000.0,0.0,0.0,Low,10.0,43.14,194.57,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning s,PKR,5000.0,0.0,0.0,Low,10.0,43.14,194.57,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning and services,PKR,5000.0,0.0,0.0,Low,10.0,43.14,194.57,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
clean & service,PKR,5000.0,0.0,0.0,Low,10.0,43.14,194.57,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning service cleaning service,PKR,5000.0,0.0,0.0,Low,10.0,43.14,194.57,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaner service,PKR,5000.0,0.0,0.0,Low,10.0,43.09,194.34,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning service services,PKR,5000.0,0.0,0.0,Low,10.0,43.09,194.34,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
and cleaning services,PKR,5000.0,0.0,0.0,Low,10.0,43.09,194.34,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaner services,PKR,5000.0,0.0,0.0,Low,10.0,43.09,194.34,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning services services,PKR,5000.0,0.0,0.0,Low,10.0,43.09,194.34,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning services,PKR,5000.0,0.0,0.0,Low,10.0,43.09,194.34,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
a cleaning service,PKR,5000.0,0.0,0.0,Low,10.0,43.09,194.34,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning services cleaning services,PKR,5000.0,0.0,0.0,Low,10.0,43.09,194.34,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning svc,PKR,5000.0,0.0,0.0,Low,10.0,43.09,194.34,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
clean carpet,PKR,5000.0,0.0,0.0,Low,29.0,41.91,163.82,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
carpet and cleaning,PKR,5000.0,0.0,0.0,Low,29.0,41.91,163.82,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
carpet cleaning,PKR,5000.0,0.0,0.0,Low,29.0,41.86,163.63,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning carpet,PKR,5000.0,0.0,0.0,Low,29.0,41.86,163.63,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning carpet cleaning,PKR,5000.0,0.0,0.0,Low,29.0,41.86,163.63,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaner carpet cleaner,PKR,5000.0,0.0,0.0,Low,29.0,41.86,163.63,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
sofa cleaning services,PKR,5000.0,0.0,0.0,Medium,59.0,35.62,158.49,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
settee cleaning service,PKR,5000.0,0.0,0.0,Medium,59.0,35.62,158.49,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
sofa cleaning agency,PKR,5000.0,0.0,0.0,Medium,59.0,35.62,158.49,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
sofa shampooing services,PKR,5000.0,0.0,0.0,Medium,59.0,35.62,158.49,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
couch cleaning service,PKR,5000.0,0.0,0.0,Medium,59.0,35.57,158.3,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
sofa cleaning service,PKR,5000.0,0.0,0.0,Medium,59.0,35.57,158.3,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
sofa shampoo service,PKR,5000.0,0.0,0.0,Medium,59.0,35.57,158.3,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
sofa washing services,PKR,5000.0,0.0,0.0,Medium,59.0,35.57,158.3,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
couch washing service,PKR,5000.0,0.0,0.0,Medium,59.0,35.57,158.3,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
home cleaning services,PKR,5000.0,0.0,900.0,Low,13.0,32.42,139.1,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
services house cleaning,PKR,5000.0,0.0,900.0,Low,13.0,32.42,139.1,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning housekeeping services,PKR,5000.0,0.0,900.0,Low,13.0,32.42,139.1,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
home cleaning service,PKR,5000.0,0.0,900.0,Low,13.0,32.38,138.93,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
cleaning house services,PKR,5000.0,0.0,900.0,Low,13.0,32.38,138.93,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
maid service cleaning,PKR,5000.0,0.0,900.0,Low,13.0,32.38,138.93,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
maid service for home,PKR,5000.0,0.0,900.0,Low,13.0,32.38,138.93,,,,,,,,,,,,,,,,,,Transactional,BOFU (Conversion)
